City,Neighborhood,Lat,Lng,Month,Sale Price,Homes Sold,New Listings,Days on Market
"Chicago, IL ", Uptown,41.9665404,-87.6533404,Aug-19,$290K,281,265,53
"Chicago, IL ", Vittum Park,41.8028954,-87.7472086,Aug-19,$225K,17,20,47
"Chicago, IL ", Waclawowo,41.941501099999996,-87.70250209999998,Aug-19,$360K,13,14,53
"Chicago, IL ", Washington Heights,41.717648499999996,-87.64313320000001,Aug-19,$170K,100,137,57
"Chicago, IL ", Washington Park,41.7944738,-87.615963,Aug-19,$138K,18,13,58
"Chicago, IL ", West Beverly,41.7056889,-87.68667509999999,Aug-19,$266K,20,15,51
"Chicago, IL ", West Chatham,41.7449326,-87.6321215,Aug-19,$135K,7,9,88
"Chicago, IL ", West Chesterfield,41.729147999999995,-87.6192042,Aug-19,$180K,13,19,76
"Chicago, IL ", West DePaul,41.9290217,-87.6656217,Aug-19,$610K,11,12,71
"Chicago, IL ", West Elsdon,41.793219,-87.7231456,Aug-19,$226K,40,47,53
"Chicago, IL ", West Englewood,41.7780891,-87.66671769999998,Aug-19,$54K,64,106,44
"Chicago, IL ", West Garfield Park,41.8779353,-87.73048879999997,Aug-19,$135K,33,51,60
"Chicago, IL ", West Humboldt Park,41.9025009,-87.7361373,Aug-19,$221K,16,26,79
"Chicago, IL ", West Lake View,41.93594,-87.67824279999998,Aug-19,$468K,44,47,52
"Chicago, IL ", West Lawn,41.7786631,-87.72279420000001,Aug-19,$221K,75,108,52
"Chicago, IL ", West Pullman,41.677851399999994,-87.64195169999998,Aug-19,$90K,68,120,66
"Chicago, IL ", West Ridge,42.0005804,-87.69257669999998,Aug-19,$246K,208,235,64
"Chicago, IL ", West Rogers Park,42.0005804,-87.69257669999998,Aug-19,$280K,144,162,65
"Chicago, IL ", West Side,41.87716939999999,-87.7172932,Aug-19,$361K,"1,549","1,804",62
"Chicago, IL ", West Town,41.8935946,-87.6721671,Aug-19,$515K,588,629,66
"Chicago, IL ", West Walker,41.957973200000005,-87.7233881,Aug-19,$432K,21,9,77
"Chicago, IL ", West Woodlawn,41.7794339,-87.610586,Aug-19,$145K,20,32,55
"Chicago, IL ", Wicker Park,41.91048920000001,-87.6775672,Aug-19,$545K,139,153,59
"Chicago, IL ", Wildwood,42.0070244,-87.77784179999998,Aug-19,$470K,15,19,88
"Chicago, IL ", Woodlawn,41.78058,-87.59153509999999,Aug-19,$199K,55,78,58
"Chicago, IL ", Woodlawn Ridge,41.7587969,-87.59582270000001,Aug-19,$281K,6,12,45
"Chicago, IL ", Wrightwood,41.74573710000001,-87.69128620000001,Aug-19,$397K,107,102,122
"Chicago, IL ", Wrigleyville,41.949062,-87.656516,Aug-19,$456K,22,34,65
